Country_Name,Indicator_Name,Region,Income_Group,2010
Afghanistan,"Adult literacy rate, population 15+ years, female (%)",South Asia,Low income,17.61206
Afghanistan,"Adult literacy rate, population 15+ years, male (%)",South Asia,Low income,45.4171
Afghanistan,"Elderly literacy rate, population 65+ years, female (%)",South Asia,Low income,19.67049
Afghanistan,"Elderly literacy rate, population 65+ years, male (%)",South Asia,Low income,
Afghanistan,"Literacy rate, population 25-64 years, female (%)",South Asia,Low income,8.41276
Afghanistan,"Literacy rate, population 25-64 years, male (%)",South Asia,Low income,37.79481
Afghanistan,"Youth literacy rate, population 15-24 years, female (%)",South Asia,Low income,32.11322
Afghanistan,"Youth literacy rate, population 15-24 years, male (%)",South Asia,Low income,61.87907
Albania,"Adult literacy rate, population 15+ years, female (%)",Europe & Central Asia,Upper middle income,95.69148
Albania,"Adult literacy rate, population 15+ years, male (%)",Europe & Central Asia,Upper middle income,98.00816
Albania,"Elderly literacy rate, population 65+ years, female (%)",Europe & Central Asia,Upper middle income,79.32745
Albania,"Elderly literacy rate, population 65+ years, male (%)",Europe & Central Asia,Upper middle income,93.78969
Albania,"Literacy rate, population 25-64 years, female (%)",Europe & Central Asia,Upper middle income,98.5291
Albania,"Literacy rate, population 25-64 years, male (%)",Europe & Central Asia,Upper middle income,98.69613
Albania,"Youth literacy rate, population 15-24 years, female (%)",Europe & Central Asia,Upper middle income,98.85624
Albania,"Youth literacy rate, population 15-24 years, male (%)",Europe & Central Asia,Upper middle income,98.73136
Algeria,"Adult literacy rate, population 15+ years, female (%)",Middle East & North Africa,Upper middle income,67.54875
Algeria,"Adult literacy rate, population 15+ years, male (%)",Middle East & North Africa,Upper middle income,82.61584
Algeria,"Elderly literacy rate, population 65+ years, female (%)",Middle East & North Africa,Upper middle income,9.1492
Algeria,"Elderly literacy rate, population 65+ years, male (%)",Middle East & North Africa,Upper middle income,30.12364
Algeria,"Literacy rate, population 25-64 years, female (%)",Middle East & North Africa,Upper middle income,62.93116
Algeria,"Literacy rate, population 25-64 years, male (%)",Middle East & North Africa,Upper middle income,82.36369
Algeria,"Youth literacy rate, population 15-24 years, female (%)",Middle East & North Africa,Upper middle income,91.73993
Algeria,"Youth literacy rate, population 15-24 years, male (%)",Middle East & North Africa,Upper middle income,95.74706
American Samoa,"Adult literacy rate, population 15+ years, female (%)",East Asia & Pacific,Upper middle income,
American Samoa,"Adult literacy rate, population 15+ years, male (%)",East Asia & Pacific,Upper middle income,
American Samoa,"Elderly literacy rate, population 65+ years, female (%)",East Asia & Pacific,Upper middle income,
