,Country_Name,Indicator_Name,Region,Income_Group,Year,Value
0,Afghanistan,Government expenditure per primary student as % of GDP per capita (%),South Asia,Low income,1997,
1,Algeria,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,1997,
2,Andorra,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,1997,
3,Argentina,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
4,Armenia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,1997,
5,Aruba,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,1997,
6,Australia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,1997,
7,Austria,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
8,Bahrain,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,1997,
9,Bangladesh,Government expenditure per primary student as % of GDP per capita (%),South Asia,Low income,1997,
10,Barbados,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,1997,
11,Belgium,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,1997,
12,Belize,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
13,Benin,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
14,Bermuda,Government expenditure per primary student as % of GDP per capita (%),North America,High income: nonOECD,1997,
15,Bhutan,Government expenditure per primary student as % of GDP per capita (%),South Asia,Lower middle income,1997,
16,Bolivia,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,1997,
17,Bosnia and Herzegovina,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,1997,
18,Botswana,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,1997,
19,Brazil,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,1997,
20,British Virgin Islands,Government expenditure per primary student as % of GDP per capita (%),,,1997,
21,Brunei Darussalam,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,1997,
22,Bulgaria,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,1997,
23,Burkina Faso,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
24,Burundi,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,1997,
