,Country_Name,Region,Indicator_Name,Year,High income: OECD,High income: nonOECD,Low income,Lower middle income,Upper middle income
0,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),1997,,,,,
1,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),1998,,,,,
2,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),1999,,,,,
3,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2000,,,,,
4,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2001,,,,,
5,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2002,,,,,
6,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2003,,,,,
7,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2004,,,,,
8,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2005,,,,,
9,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2006,,,,,
10,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2007,,,,,
11,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2008,,,,,
12,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2009,,,,,
13,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2010,,,9.445469856,,
14,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2011,,,9.782870293,,
15,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2012,,,6.89467001,,
16,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2013,,,8.997400284,,
17,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2014,,,9.531700134,,
18,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2015,,,8.150529861,,
19,Afghanistan,South Asia,Government expenditure per primary student as % of GDP per capita (%),2016,,,,,
20,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),1997,,,,,
21,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),1998,,,,,
22,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),1999,,,,,12.24065971
23,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2000,,,,,9.944080353
24,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2001,,,,,
25,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2002,,,,,11.03452969
26,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2003,,,,,11.52180004
27,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2004,,,,,
28,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2005,,,,,
29,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2006,,,,,
30,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2007,,,,,
31,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2008,,,,,
32,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2009,,,,,
33,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2010,,,,,
34,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2011,,,,,
35,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2012,,,,,
36,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2013,,,,,
37,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2014,,,,,
38,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2015,,,,,
39,Algeria,Middle East & North Africa,Government expenditure per primary student as % of GDP per capita (%),2016,,,,,
40,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),1997,,,,,
41,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),1998,,,,,
42,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),1999,,,,,
43,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2000,,,,,
44,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2001,,,,,
45,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2002,,7.964179993,,,
46,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2003,,,,,
47,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2004,,8.242580414,,,
48,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2005,,7.679590225,,,
49,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2006,,10.03345966,,,
50,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2007,,10.19610977,,,
51,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2008,,,,,
52,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2009,,15.94060993,,,
53,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2010,,17.12488937,,,
54,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2011,,17.57438087,,,
55,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2012,,,,,
56,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2013,,14.76933002,,,
57,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2014,,13.17560959,,,
58,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2015,,13.96354008,,,
59,Andorra,Europe & Central Asia,Government expenditure per primary student as % of GDP per capita (%),2016,,,,,
60,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),1997,,,,,
61,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),1998,,,,,11.00508022
62,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),1999,,,,,12.48548985
63,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),2000,,,,,12.36096001
64,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),2001,,,,,13.8027401
65,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),2002,,,,,10.76552963
66,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),2003,,,,,10.49942017
67,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),2004,,,,,9.881810188
68,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),2005,,,,,10.3822298
69,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),2006,,,,,11.54559994
70,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),2007,,,,,12.65437031
71,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),2008,,,,,13.67523956
72,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),2009,,,,,14.73491001
73,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),2010,,,,,13.61423969
74,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),2011,,,,,14.15536976
75,Argentina,Latin America & Caribbean,Government expenditure per primary student as % of GDP per capita (%),2012,,,,,14.5433197
